#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-01,228.06,-0.0780,-1.60,230.03,283.40,0.9325,stop_loss,8,0.0828,20.47
2,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,56.90,64.48,0.8825,target_hit,17,0.3284,20.09
3,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,44.92,60.39,0.9825,target_hit,4,0.4217,20.37
4,KWEB,false_breakdown,2022-06-07,28.67,2022-06-13,26.37,-0.0803,-1.71,26.66,32.69,0.8500,stop_loss,18,0.7410,21.24
5,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.11,-0.1058,-2.27,8.44,12.76,0.9000,stop_loss,19,2.3664,21.46
6,AAPL,false_breakdown,2022-05-25,137.88,2022-06-16,127.62,-0.0744,-1.49,128.23,190.92,0.8500,stop_loss,1,0.1451,20.00
7,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.91,70.00,78.55,0.7825,target_hit,2,0.2737,20.60
8,UCO,false_breakdown_w_bottom,2022-06-01,47.93,2022-06-22,43.13,-0.1001,-2.01,44.57,55.81,0.7325,stop_loss,20,0.4197,20.12
9,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-06-22,22.78,-0.0810,-1.63,23.06,31.48,0.9825,stop_loss,20,0.8128,20.15
10,GDX,false_breakdown,2022-06-22,28.56,2022-06-30,25.99,-0.0898,-1.75,26.56,30.18,0.8500,stop_loss,15,0.6836,19.52
11,SNOW,false_breakdown,2022-06-22,127.36,2022-07-05,154.90,0.2162,4.22,118.44,153.83,0.8500,target_hit,10,0.1533,19.52
12,ASHR,false_breakdown,2022-06-21,30.56,2022-08-24,28.24,-0.0759,-1.52,28.42,33.94,0.8500,stop_loss,5,0.6564,20.06
13,KWEB,false_breakdown,2022-08-25,27.37,2022-09-06,24.80,-0.0939,-2.00,25.45,32.69,0.8500,stop_loss,18,0.7791,21.32
14,LVS,false_breakdown,2022-06-30,31.91,2022-10-06,40.91,0.2822,5.25,29.67,40.63,0.9000,target_hit,11,0.5832,18.61
15,ADI,false_breakdown,2022-06-13,138.55,2022-10-14,128.82,-0.0703,-1.45,128.85,179.97,0.7000,stop_loss,1,0.1487,20.60
16,SLB,false_breakdown_w_bottom,2022-10-06,39.05,2022-10-21,46.33,0.1864,3.82,36.32,43.34,0.9825,target_hit,14,0.5242,20.47
17,CI,false_breakdown_w_bottom,2022-09-07,272.11,2022-10-24,288.01,0.0584,1.17,253.06,284.77,0.9825,target_hit,17,0.0734,19.97
18,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,1.93,212.48,246.47,0.8500,target_hit,12,0.0780,17.83
19,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.84,61.74,72.23,0.9325,target_hit,16,0.3060,20.31
20,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2022-12-14,5.56,-0.0954,-2.27,5.71,8.41,0.9325,stop_loss,1,3.8744,23.81
21,CZR,false_breakdown_w_bottom,2022-10-28,44.10,2022-12-28,39.99,-0.0932,-2.11,41.01,56.17,0.9325,stop_loss,7,0.5144,22.68
22,VSCO,false_breakdown,2022-10-24,37.51,2023-01-03,32.99,-0.1205,-2.60,34.88,55.61,0.9000,stop_loss,18,0.5761,21.61
23,SRPT,false_breakdown_w_bottom,2022-12-29,127.26,2023-01-09,117.53,-0.0765,-1.57,118.35,137.41,0.9825,stop_loss,11,0.1616,20.57
24,C,false_breakdown_w_bottom,2022-10-14,38.12,2023-01-26,46.55,0.2212,4.50,35.45,46.53,0.9825,target_hit,13,0.5335,20.34
25,SHOP,false_breakdown_w_bottom,2023-01-27,50.08,2023-02-16,44.91,-0.1032,-2.32,46.57,61.79,0.9825,stop_loss,10,0.4495,22.51
26,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-03-08,128.71,-0.0716,-1.21,128.93,150.44,0.9825,stop_loss,16,0.1215,16.85
27,OIH,false_breakdown_w_bottom,2023-01-09,296.51,2023-03-13,267.35,-0.0983,-2.08,275.75,334.33,0.9825,stop_loss,17,0.0713,21.15
28,SQQQ,false_breakdown_w_bottom,2023-02-17,733.83,2023-03-21,662.04,-0.0978,-2.17,682.46,837.67,0.9825,stop_loss,4,0.0302,22.14
29,MO,false_breakdown_w_bottom,2023-03-22,34.97,2023-05-01,37.79,0.0808,1.61,32.52,37.63,0.9825,target_hit,2,0.5712,19.97
30,SNOW,false_breakdown_w_bottom,2023-03-13,137.73,2023-05-10,172.04,0.2491,4.75,128.09,171.13,0.9825,target_hit,17,0.1385,19.07
31,TMUS,false_breakdown_w_bottom,2023-03-09,135.66,2023-06-02,126.14,-0.0702,-1.12,126.16,150.18,0.9825,stop_loss,1,0.1181,16.02
32,U,false_breakdown_w_bottom,2023-06-05,36.32,2023-06-15,41.67,0.1473,2.34,33.78,41.14,0.9825,target_hit,12,0.4381,15.91
33,META,false_breakdown_w_bottom,2023-05-01,241.29,2023-07-12,306.93,0.2721,5.87,224.40,302.35,0.9825,target_hit,2,0.0895,21.59
34,FRPT,false_breakdown_w_bottom,2022-12-19,52.65,2023-08-07,82.25,0.5622,12.11,48.96,75.56,0.9825,target_hit,15,0.4091,21.54
35,ORCL,false_breakdown_w_bottom,2023-06-20,118.21,2023-08-09,109.94,-0.0700,-1.28,109.94,119.89,0.9825,stop_loss,11,0.1544,18.26
36,UPS,false_breakdown_w_bottom,2023-08-10,155.55,2023-09-05,142.68,-0.0827,-1.91,144.66,201.74,0.9825,stop_loss,1,0.1487,23.12
37,MS,false_breakdown_w_bottom,2023-09-12,78.89,2023-10-03,71.95,-0.0880,-1.87,73.37,91.78,0.9825,stop_loss,12,0.2689,21.21
38,SQQQ,false_breakdown_w_bottom,2023-10-03,440.97,2023-10-06,406.34,-0.0785,-1.52,410.10,837.67,0.9825,stop_loss,17,0.0439,19.34
39,AA,false_breakdown_w_bottom,2023-10-10,27.36,2023-10-19,23.52,-0.1404,-2.50,25.44,72.14,0.9325,stop_loss,9,0.6515,17.82
40,TSM,false_breakdown_w_bottom,2023-10-19,89.72,2023-10-27,83.04,-0.0745,-1.14,83.44,105.94,0.9825,stop_loss,1,0.1708,15.32
41,SQQQ,false_breakdown_w_bottom,2023-10-27,477.49,2023-11-01,431.73,-0.0958,-1.36,444.06,837.67,0.9825,stop_loss,12,0.0297,14.18
42,MAR,false_breakdown_w_bottom,2023-11-01,184.31,2023-11-07,189.87,0.0302,0.39,171.41,189.56,0.9825,target_hit,10,0.0696,12.82
43,UNH,false_breakdown_w_bottom,2023-07-14,454.52,2023-11-10,514.29,0.1315,3.47,422.70,513.94,0.9825,target_hit,10,0.0580,26.36
44,INTC,false_breakdown_w_bottom,2022-10-21,25.66,2023-11-16,42.78,0.6671,14.30,23.86,40.11,0.9825,target_hit,2,0.8356,21.44
45,SNOW,false_breakdown_w_bottom,2023-11-07,159.57,2023-11-24,171.16,0.0726,0.96,148.40,171.13,0.9825,target_hit,3,0.0828,13.21
46,SNOW,false_breakdown_w_bottom,2023-11-27,170.30,2023-11-28,171.55,0.0073,0.20,158.38,171.13,0.9825,target_hit,7,0.1567,26.69
47,GDX,false_breakdown_w_bottom,2023-11-16,27.62,2023-12-01,30.71,0.1118,3.03,25.69,30.56,0.9825,target_hit,13,0.9799,27.07
48,KRE,false_breakdown_w_bottom,2023-12-01,44.27,2023-12-08,45.70,0.0322,0.94,41.17,45.47,0.9825,target_hit,7,0.6567,29.07
49,BAC,false_breakdown_w_bottom,2023-11-29,28.50,2024-01-05,32.63,0.1450,3.90,26.50,32.41,0.9825,target_hit,3,0.9433,26.88
50,CCI,false_breakdown_w_bottom,2023-12-13,101.97,2024-01-24,93.44,-0.0836,-2.50,94.83,114.63,0.9825,stop_loss,1,0.2932,29.90
51,PAYO,false_breakdown_w_bottom,2023-08-07,5.07,2024-01-31,4.68,-0.0769,-2.20,4.72,8.08,0.9825,stop_loss,19,5.6414,28.60
52,SRPT,false_breakdown_w_bottom,2024-01-09,119.77,2024-02-27,141.53,0.1817,5.47,111.39,137.41,0.9825,target_hit,10,0.2511,30.08
53,BA,false_breakdown_w_bottom,2023-11-13,204.54,2024-03-12,184.24,-0.0992,-2.58,190.22,275.57,0.9825,stop_loss,3,0.1270,25.98
54,BHC,false_breakdown_w_bottom,2023-05-10,5.95,2024-03-27,10.49,0.7630,17.40,5.53,10.15,0.9825,target_hit,10,3.8330,22.81
55,NICE,false_breakdown_w_bottom,2024-03-22,261.21,2024-04-08,242.05,-0.0734,-1.86,242.93,272.54,0.9825,stop_loss,12,0.0973,25.41
56,WYNN,false_breakdown_w_bottom,2024-02-08,103.72,2024-04-17,95.51,-0.0792,-2.30,96.46,110.83,0.9825,stop_loss,3,0.2803,29.07
57,TSM,false_breakdown_w_bottom,2024-03-06,137.35,2024-04-19,124.40,-0.0943,-2.83,127.74,163.78,0.9825,stop_loss,12,0.2188,30.05
58,BABA,false_breakdown_w_bottom,2024-05-02,77.31,2024-05-13,81.42,0.0532,1.59,71.90,81.15,0.9825,target_hit,4,0.3863,29.86
59,FXI,false_breakdown_w_bottom,2024-05-02,26.01,2024-05-16,27.94,0.0740,1.96,24.19,27.75,0.9825,target_hit,10,1.0183,26.49
60,FSLR,false_breakdown_w_bottom,2024-03-27,167.45,2024-05-21,212.11,0.2667,8.07,155.73,207.70,0.9825,target_hit,20,0.1807,30.26
61,NVDA,false_breakdown_w_bottom,2024-05-24,106.41,2024-05-28,113.84,0.0698,2.27,98.96,110.45,0.9825,target_hit,1,0.3056,32.51
62,AAPL,false_breakdown,2024-04-11,173.46,2024-06-03,192.54,0.1100,3.42,161.32,190.92,0.9000,target_hit,2,0.1795,31.13
63,ADBE,false_breakdown_w_bottom,2024-05-14,475.95,2024-06-03,439.02,-0.0776,-2.44,442.63,486.38,0.9825,stop_loss,15,0.0661,31.45
64,ADBE,false_breakdown_w_bottom,2024-06-06,458.13,2024-06-14,525.31,0.1466,4.94,426.06,486.38,0.9825,target_hit,13,0.0735,33.67
65,COIN,false_breakdown_w_bottom,2024-05-24,237.65,2024-06-24,212.31,-0.1066,-3.47,221.01,261.64,0.9825,stop_loss,2,0.1368,32.51
66,ENVX,false_breakdown_w_bottom,2024-06-25,16.26,2024-06-26,15.03,-0.0756,-2.52,15.12,21.15,0.9825,stop_loss,20,2.0503,33.34
67,NVS,false_breakdown_w_bottom,2024-03-06,92.54,2024-07-05,101.17,0.0933,2.80,86.06,100.57,0.9325,target_hit,15,0.3247,30.05
68,UNH,false_breakdown_w_bottom,2024-06-14,475.88,2024-07-16,527.64,0.1088,3.70,442.56,513.94,0.9325,target_hit,3,0.0714,33.99
69,AMD,false_breakdown_w_bottom,2024-07-05,171.90,2024-07-17,159.43,-0.0725,-2.38,159.87,188.43,0.9825,stop_loss,5,0.1911,32.85
70,SNOW,false_breakdown_w_bottom,2024-07-01,142.77,2024-07-18,129.84,-0.0906,-2.91,132.78,171.13,0.9825,stop_loss,10,0.2250,32.13
71,COIN,false_breakdown_w_bottom,2024-07-17,249.10,2024-07-22,265.15,0.0644,2.13,231.66,261.64,0.9825,target_hit,1,0.1326,33.02
72,INTC,false_breakdown_w_bottom,2024-07-18,34.65,2024-07-24,31.50,-0.0909,-2.92,32.22,40.11,0.9825,stop_loss,14,0.9268,32.12
73,AMZN,false_breakdown_w_bottom,2024-06-26,193.61,2024-07-25,179.85,-0.0711,-2.33,180.06,213.22,0.9825,stop_loss,1,0.1697,32.85
74,MRVL,false_breakdown_w_bottom,2024-07-25,63.69,2024-08-02,58.97,-0.0741,-2.39,59.23,93.89,0.9825,stop_loss,20,0.5073,32.31
75,COIN,false_breakdown_w_bottom,2024-08-01,212.64,2024-08-05,189.47,-0.1090,-3.21,197.76,261.64,0.9825,stop_loss,3,0.1384,29.43
