#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-01,230.03,-0.0700,-1.43,230.03,283.40,0.9325,stop_loss,8,0.0828,20.47
2,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,56.90,64.48,0.8825,target_hit,17,0.3284,20.09
3,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,44.92,60.39,0.9825,target_hit,4,0.4217,20.37
4,KWEB,false_breakdown,2022-06-07,28.67,2022-06-13,26.66,-0.0700,-1.49,26.66,32.69,0.8500,stop_loss,18,0.7410,21.24
5,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.44,-0.0700,-1.50,8.44,12.76,0.9000,stop_loss,19,2.3699,21.50
6,AAPL,false_breakdown,2022-05-25,137.88,2022-06-16,128.23,-0.0700,-1.40,128.23,190.92,0.8500,stop_loss,1,0.1451,20.00
7,UCO,false_breakdown_w_bottom,2022-06-01,47.93,2022-06-17,44.57,-0.0700,-1.41,44.57,55.81,0.7325,stop_loss,20,0.4204,20.15
8,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.92,70.00,78.55,0.7825,target_hit,2,0.2768,20.83
9,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-06-22,23.06,-0.0700,-1.43,23.06,31.48,0.9825,stop_loss,20,0.8227,20.40
10,CVNA,false_breakdown,2022-06-17,24.27,2022-06-29,22.57,-0.0700,-1.38,22.57,175.75,0.9000,stop_loss,13,0.8111,19.68
11,SNOW,false_breakdown,2022-06-22,127.36,2022-07-05,154.90,0.2162,4.34,118.44,153.83,0.8500,target_hit,10,0.1576,20.07
12,LVS,false_breakdown,2022-06-30,31.91,2022-07-11,29.67,-0.0700,-1.40,29.67,40.63,0.9000,stop_loss,11,0.6249,19.94
13,ASHR,false_breakdown,2022-06-21,30.56,2022-08-03,28.42,-0.0700,-1.42,28.42,33.94,0.8500,stop_loss,5,0.6626,20.25
14,INTC,false_breakdown_w_bottom,2022-08-03,34.40,2022-08-24,31.99,-0.0700,-1.44,31.99,40.11,0.9825,stop_loss,7,0.5976,20.56
15,KWEB,false_breakdown,2022-08-25,27.37,2022-09-06,25.45,-0.0700,-1.34,25.45,32.69,0.8500,stop_loss,18,0.6985,19.12
16,BBY,false_breakdown_w_bottom,2022-07-12,58.70,2022-09-29,54.59,-0.0700,-1.43,54.59,97.75,0.8325,stop_loss,18,0.3476,20.40
17,SNOW,false_breakdown_w_bottom,2022-09-30,169.96,2022-10-03,172.51,0.0150,0.28,158.06,171.13,0.9325,target_hit,14,0.1101,18.71
18,TEAM,false_breakdown,2022-10-04,236.21,2022-10-10,219.68,-0.0700,-1.35,219.68,273.18,0.9000,stop_loss,9,0.0815,19.26
19,ADI,false_breakdown,2022-06-13,138.55,2022-10-13,128.85,-0.0700,-1.46,128.85,179.97,0.7000,stop_loss,1,0.1504,20.83
20,CI,false_breakdown_w_bottom,2022-09-07,272.11,2022-10-24,288.01,0.0584,1.04,253.06,284.77,0.9825,target_hit,17,0.0653,17.78
21,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,1.95,212.48,246.47,0.8500,target_hit,12,0.0786,17.96
22,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.89,61.74,72.23,0.9325,target_hit,16,0.3138,20.83
23,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2022-12-14,5.71,-0.0700,-1.51,5.71,8.41,0.9325,stop_loss,1,3.5010,21.51
24,INTC,false_breakdown_w_bottom,2022-10-28,27.66,2022-12-19,25.72,-0.0700,-1.39,25.72,40.11,0.9825,stop_loss,10,0.7196,19.90
25,VSCO,false_breakdown,2022-10-24,37.51,2023-01-03,34.88,-0.0700,-1.34,34.88,55.61,0.9000,stop_loss,18,0.5102,19.14
26,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-02-28,128.93,-0.0700,-1.25,128.93,150.44,0.9825,stop_loss,16,0.1284,17.80
27,NIO,false_breakdown_w_bottom,2023-02-28,9.39,2023-03-02,8.73,-0.0700,-1.16,8.73,25.98,0.9825,stop_loss,13,1.7626,16.55
28,FSLR,false_breakdown_w_bottom,2023-03-02,198.22,2023-03-03,210.11,0.0600,0.92,184.34,207.70,0.9825,target_hit,5,0.0777,15.39
29,FRPT,false_breakdown_w_bottom,2022-12-19,52.65,2023-03-15,48.96,-0.0700,-1.38,48.96,75.56,0.9825,stop_loss,15,0.3736,19.67
30,VXX,false_breakdown_w_bottom,2023-03-15,219.84,2023-03-16,204.45,-0.0700,-1.28,204.45,239.68,0.9825,stop_loss,4,0.0832,18.29
31,PINS,false_breakdown_w_bottom,2023-03-16,26.53,2023-04-28,24.67,-0.0700,-1.19,24.67,32.30,0.8825,stop_loss,13,0.6412,17.01
32,PANW,false_breakdown_w_bottom,2023-03-03,95.79,2023-05-02,89.09,-0.0700,-1.14,89.09,114.93,0.9325,stop_loss,15,0.1703,16.32
33,SLV,false_breakdown_w_bottom,2023-05-02,23.35,2023-05-16,21.72,-0.0700,-1.06,21.72,25.34,0.9825,stop_loss,10,0.6498,15.17
