#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-01,225.08,-0.0900,-1.84,225.08,283.40,0.9325,stop_loss,8,0.0828,20.47
2,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,55.68,64.48,0.8825,target_hit,17,0.3284,20.09
3,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,43.95,60.39,0.9825,target_hit,4,0.4217,20.37
4,KWEB,false_breakdown,2022-06-07,28.67,2022-06-13,26.09,-0.0900,-1.91,26.09,32.69,0.8500,stop_loss,18,0.7410,21.24
5,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.25,-0.0900,-1.93,8.25,12.76,0.9000,stop_loss,19,2.3610,21.41
6,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.91,68.49,78.55,0.7825,target_hit,2,0.2735,20.58
7,UCO,false_breakdown_w_bottom,2022-06-01,47.93,2022-06-22,43.62,-0.0900,-1.81,43.62,55.81,0.7325,stop_loss,20,0.4187,20.07
8,SNOW,false_breakdown,2022-06-22,127.36,2022-07-05,154.90,0.2162,4.33,115.90,153.83,0.8500,target_hit,10,0.1572,20.02
9,ASHR,false_breakdown,2022-06-21,30.56,2022-08-30,27.81,-0.0900,-1.83,27.81,33.94,0.8500,stop_loss,5,0.6646,20.31
10,ADI,false_breakdown,2022-06-13,138.55,2022-10-13,126.08,-0.0900,-1.85,126.08,179.97,0.7000,stop_loss,1,0.1486,20.58
11,LOW,false_breakdown_w_bottom,2022-08-30,184.02,2022-10-20,167.46,-0.0900,-1.95,167.46,210.64,0.9825,stop_loss,15,0.1176,21.64
12,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,1.91,207.91,246.47,0.8500,target_hit,12,0.0772,17.63
13,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.93,60.41,72.23,0.9325,target_hit,16,0.3205,21.27
14,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2022-12-14,5.59,-0.0900,-2.02,5.59,8.41,0.9325,stop_loss,1,3.6550,22.46
15,AAPL,false_breakdown,2022-05-25,137.88,2022-12-28,125.47,-0.0900,-1.80,125.47,190.92,0.8500,stop_loss,1,0.1451,20.00
16,CZR,false_breakdown_w_bottom,2022-10-28,44.10,2022-12-28,40.13,-0.0900,-1.78,40.13,56.17,0.9325,stop_loss,7,0.4478,19.75
17,MLCO,false_breakdown_w_bottom,2022-12-28,11.22,2023-01-03,11.98,0.0677,1.34,10.21,11.64,0.9325,target_hit,7,1.7641,19.79
18,SRPT,false_breakdown_w_bottom,2022-12-29,127.26,2023-03-01,145.63,0.1444,2.40,115.81,137.41,0.9825,target_hit,11,0.1308,16.65
19,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-03-10,126.16,-0.0900,-1.90,126.16,150.44,0.9825,stop_loss,16,0.1524,21.13
20,NIO,false_breakdown_w_bottom,2023-03-01,8.83,2023-03-13,8.04,-0.0900,-1.71,8.04,25.98,0.9825,stop_loss,16,2.1578,19.05
21,FRPT,false_breakdown_w_bottom,2022-12-19,52.65,2023-03-15,47.91,-0.0900,-1.88,47.91,75.56,0.9825,stop_loss,15,0.3972,20.91
22,VXX,false_breakdown_w_bottom,2023-03-15,219.84,2023-03-21,200.05,-0.0900,-1.71,200.05,239.68,0.9825,stop_loss,4,0.0866,19.03
23,MO,false_breakdown_w_bottom,2023-03-22,34.97,2023-05-01,37.79,0.0808,1.40,31.82,37.63,0.9825,target_hit,2,0.4952,17.32
24,SNOW,false_breakdown_w_bottom,2023-03-13,137.73,2023-05-10,172.04,0.2491,4.32,125.33,171.13,0.9825,target_hit,17,0.1259,17.34
25,META,false_breakdown_w_bottom,2023-05-01,241.29,2023-07-12,306.93,0.2721,5.09,219.57,302.35,0.9825,target_hit,2,0.0776,18.72
26,RITM,false_breakdown_w_bottom,2022-10-13,5.47,2023-07-24,8.15,0.4894,10.10,4.98,7.94,0.9325,target_hit,19,3.7693,20.63
27,NIO,false_breakdown_w_bottom,2023-07-24,11.73,2023-08-18,10.67,-0.0900,-2.52,10.67,25.98,0.9825,stop_loss,10,2.3862,27.99
28,UNH,false_breakdown_w_bottom,2023-07-14,454.52,2023-11-10,514.29,0.1315,3.13,413.61,513.94,0.9825,target_hit,10,0.0524,23.81
29,INTC,false_breakdown_w_bottom,2022-10-21,25.66,2023-11-16,42.78,0.6671,13.71,23.35,40.11,0.9825,target_hit,2,0.8011,20.55
30,GDX,false_breakdown_w_bottom,2023-11-16,27.62,2023-12-01,30.71,0.1118,3.05,25.13,30.56,0.9825,target_hit,13,0.9877,27.28
31,KRE,false_breakdown_w_bottom,2023-12-01,44.27,2023-12-08,45.70,0.0322,0.95,40.28,45.47,0.9825,target_hit,7,0.6667,29.51
32,KWEB,false_breakdown_w_bottom,2023-08-18,24.06,2024-01-18,21.90,-0.0900,-2.35,21.90,36.29,0.9825,stop_loss,11,1.0838,26.08
33,CCI,false_breakdown_w_bottom,2023-12-13,101.97,2024-02-27,92.79,-0.0900,-2.68,92.79,114.63,0.9825,stop_loss,1,0.2923,29.80
34,AMD,false_breakdown_w_bottom,2024-01-19,174.23,2024-02-29,192.53,0.1050,2.97,158.55,188.43,0.9825,target_hit,2,0.1622,28.26
35,BA,false_breakdown_w_bottom,2023-11-13,204.54,2024-03-12,186.13,-0.0900,-2.35,186.13,275.57,0.9825,stop_loss,3,0.1274,26.06
36,BHC,false_breakdown_w_bottom,2023-05-10,5.95,2024-03-27,10.49,0.7630,16.53,5.41,10.15,0.9825,target_hit,10,3.6399,21.66
37,SLV,false_breakdown_w_bottom,2023-03-10,18.86,2024-04-08,25.40,0.3468,6.67,17.16,25.34,0.9825,target_hit,18,1.0197,19.23
38,NICE,false_breakdown_w_bottom,2024-03-22,261.21,2024-04-12,237.70,-0.0900,-2.63,237.70,272.54,0.9825,stop_loss,12,0.1117,29.18
39,TSM,false_breakdown_w_bottom,2024-03-06,137.35,2024-04-19,124.99,-0.0900,-2.65,124.99,163.78,0.9825,stop_loss,12,0.2141,29.41
40,OXY,false_breakdown_w_bottom,2024-04-12,66.37,2024-05-13,60.40,-0.0900,-2.74,60.40,72.78,0.9825,stop_loss,8,0.4583,30.42
41,BABA,false_breakdown_w_bottom,2024-05-02,77.31,2024-05-13,81.42,0.0532,1.47,70.36,81.15,0.9825,target_hit,4,0.3584,27.71
42,FSLR,false_breakdown_w_bottom,2024-03-27,167.45,2024-05-21,212.11,0.2667,7.88,152.38,207.70,0.9825,target_hit,20,0.1764,29.54
43,NVDA,false_breakdown_w_bottom,2024-05-24,106.41,2024-05-28,113.84,0.0698,2.18,96.83,110.45,0.9825,target_hit,1,0.2935,31.23
44,AAPL,false_breakdown,2024-04-11,173.46,2024-06-03,192.54,0.1100,3.38,157.85,190.92,0.9000,target_hit,2,0.1772,30.74
45,ADBE,false_breakdown_w_bottom,2024-05-14,475.95,2024-06-14,525.31,0.1037,2.71,433.11,486.38,0.9825,target_hit,15,0.0550,26.17
46,NVS,false_breakdown_w_bottom,2024-03-06,92.54,2024-07-05,101.17,0.0933,2.74,84.21,100.57,0.9325,target_hit,15,0.3178,29.41
