#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,52.01,64.48,0.8825,target_hit,17,0.3284,20.09
2,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,41.05,60.39,0.9825,target_hit,4,0.4217,20.37
3,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-15,204.60,-0.1728,-3.54,210.24,283.40,0.9325,stop_loss,8,0.0828,20.47
4,STNE,false_breakdown,2022-06-10,9.07,2022-06-16,7.63,-0.1588,-3.33,7.71,12.76,0.9000,stop_loss,19,2.3096,20.95
5,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-07-06,20.10,-0.1893,-3.66,21.07,31.48,0.9825,stop_loss,20,0.7791,19.32
6,KWEB,false_breakdown,2022-06-07,28.67,2022-09-16,23.84,-0.1684,-3.58,24.37,32.69,0.8500,stop_loss,18,0.7410,21.24
7,META,false_breakdown,2022-06-15,168.03,2022-09-21,141.01,-0.1608,-3.27,142.83,217.75,0.9000,stop_loss,6,0.1212,20.36
8,UBER,false_breakdown_w_bottom,2022-09-21,30.47,2022-10-11,24.66,-0.1907,-3.58,25.90,33.23,0.9325,stop_loss,12,0.6162,18.78
9,FXI,false_breakdown,2022-09-23,24.21,2022-10-24,19.58,-0.1909,-3.05,20.57,26.96,0.8500,stop_loss,12,0.6599,15.97
10,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,2.07,194.20,246.47,0.8500,target_hit,12,0.0835,19.07
11,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.54,56.42,72.23,0.9325,target_hit,16,0.2558,16.98
12,VSCO,false_breakdown,2022-10-24,37.51,2023-03-10,31.85,-0.1509,-1.95,31.88,55.61,0.9000,stop_loss,18,0.3446,12.92
13,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2023-06-06,8.55,0.3920,7.32,5.22,8.41,0.9325,target_hit,1,3.0369,18.66
14,AAPL,false_breakdown,2022-05-25,137.88,2023-06-30,191.46,0.3886,7.77,117.20,190.92,0.8500,target_hit,1,0.1451,20.00
15,NIO,false_breakdown_w_bottom,2023-07-03,10.03,2023-09-21,8.45,-0.1575,-3.38,8.53,25.98,0.9825,stop_loss,19,2.1363,21.43
16,INTC,false_breakdown_w_bottom,2022-10-28,27.66,2023-11-16,42.78,0.5466,10.09,23.51,40.11,0.9825,target_hit,10,0.6676,18.46
17,GDX,false_breakdown_w_bottom,2023-11-16,27.62,2023-12-01,30.71,0.1118,2.62,23.48,30.56,0.9825,target_hit,13,0.8485,23.44
18,UBER,false_breakdown_w_bottom,2023-09-21,44.60,2023-12-06,59.75,0.3397,7.09,37.91,58.99,0.9825,target_hit,17,0.4677,20.86
19,TMUS,false_breakdown_w_bottom,2022-10-12,127.82,2023-12-07,150.99,0.1813,2.76,108.65,150.18,0.9825,target_hit,15,0.1189,15.20
20,KRE,false_breakdown_w_bottom,2023-12-01,44.27,2023-12-08,45.70,0.0322,0.80,37.63,45.47,0.9825,target_hit,7,0.5610,24.83
21,FIS,false_breakdown_w_bottom,2023-12-06,55.62,2023-12-13,57.10,0.0267,0.66,47.28,56.43,0.9825,target_hit,9,0.4475,24.89
22,BLK,false_breakdown_w_bottom,2023-06-06,638.20,2023-12-14,768.19,0.2037,4.16,542.47,742.31,0.9825,target_hit,7,0.0320,20.42
23,C,false_breakdown_w_bottom,2023-12-08,45.62,2023-12-14,46.88,0.0276,0.69,38.78,46.53,0.9825,target_hit,17,0.5479,25.00
24,BAC,false_breakdown_w_bottom,2023-12-14,32.17,2024-01-05,32.63,0.0144,0.37,27.34,32.41,0.9825,target_hit,15,0.7998,25.73
25,SRPT,false_breakdown_w_bottom,2024-01-09,119.77,2024-02-27,141.53,0.1817,4.58,101.80,137.41,0.9825,target_hit,10,0.2105,25.22
26,OIH,false_breakdown_w_bottom,2023-12-15,294.58,2024-04-03,335.91,0.1403,3.59,250.39,334.33,0.9825,target_hit,5,0.0867,25.55
27,SLV,false_breakdown_w_bottom,2023-03-10,18.86,2024-04-08,25.40,0.3468,4.69,16.03,25.34,0.9825,target_hit,18,0.7164,13.51
28,CCI,false_breakdown_w_bottom,2023-12-13,101.97,2024-04-15,85.89,-0.1577,-4.01,86.67,114.63,0.9825,stop_loss,1,0.2491,25.40
29,BABA,false_breakdown_w_bottom,2024-05-02,77.31,2024-05-13,81.42,0.0532,1.39,65.72,81.15,0.9825,target_hit,4,0.3388,26.19
30,AAPL,false_breakdown,2024-04-11,173.46,2024-06-03,192.54,0.1100,2.99,147.44,190.92,0.9000,target_hit,2,0.1567,27.18
31,TSM,false_breakdown_w_bottom,2024-03-06,137.35,2024-06-10,163.81,0.1926,5.09,116.75,163.78,0.9825,target_hit,12,0.1922,26.40
32,ADBE,false_breakdown_w_bottom,2024-05-14,475.95,2024-06-14,525.31,0.1037,2.85,404.56,486.38,0.9825,target_hit,15,0.0578,27.50
33,UNH,false_breakdown_w_bottom,2024-06-14,475.88,2024-07-16,527.64,0.1088,3.07,404.49,513.94,0.9325,target_hit,3,0.0592,28.18
34,USB,false_breakdown_w_bottom,2023-12-15,40.74,2024-07-17,42.43,0.0413,1.06,34.63,42.21,0.9825,target_hit,10,0.6272,25.55
35,COIN,false_breakdown_w_bottom,2024-07-17,249.10,2024-07-22,265.15,0.0644,1.94,211.74,261.64,0.9825,target_hit,1,0.1210,30.15
36,OXY,false_breakdown_w_bottom,2024-04-12,66.37,2024-08-02,55.67,-0.1612,-4.35,56.42,72.78,0.9825,stop_loss,8,0.4067,27.00
37,AMZN,false_breakdown_w_bottom,2024-06-26,193.61,2024-08-05,161.02,-0.1683,-4.82,164.57,213.22,0.9825,stop_loss,1,0.1480,28.65
38,SQQQ,false_breakdown_w_bottom,2024-08-05,239.30,2024-08-13,198.27,-0.1715,-4.94,203.41,837.67,0.9825,stop_loss,12,0.1203,28.80
39,BABA,false_breakdown_w_bottom,2024-07-29,77.31,2024-08-16,81.80,0.0580,1.76,65.72,81.15,0.9825,target_hit,12,0.3914,30.26
40,CRM,false_breakdown_w_bottom,2024-06-03,234.08,2024-09-25,272.00,0.1620,4.36,198.97,268.27,0.9825,target_hit,12,0.1151,26.94
41,CPRI,false_breakdown_w_bottom,2024-08-21,35.44,2024-10-29,20.48,-0.4221,-12.05,30.12,48.33,0.9825,stop_loss,15,0.8055,28.55
42,KR,false_breakdown_w_bottom,2024-07-22,52.89,2024-11-08,58.11,0.0987,2.99,44.95,56.34,0.9325,target_hit,11,0.5728,30.29
43,U,false_breakdown_w_bottom,2024-09-25,21.89,2024-11-15,17.34,-0.2079,-6.17,18.61,41.14,0.9825,stop_loss,6,1.3559,29.68
44,SNOW,false_breakdown_w_bottom,2024-08-26,118.00,2024-11-21,171.35,0.4521,12.45,100.30,171.13,0.9825,target_hit,20,0.2334,27.54
45,COST,false_breakdown_w_bottom,2024-11-21,949.39,2024-12-05,975.83,0.0278,0.79,806.98,972.79,0.9825,target_hit,9,0.0298,28.29
46,BITX,false_breakdown_w_bottom,2024-12-05,53.55,2024-12-06,56.34,0.0521,1.53,45.52,54.63,0.9825,target_hit,16,0.5478,29.33
47,DJT,false_breakdown_w_bottom,2024-11-08,31.91,2025-01-17,40.03,0.2545,6.94,27.12,38.25,0.9825,target_hit,19,0.8550,27.28
48,MIDD,false_breakdown_w_bottom,2025-01-23,145.65,2025-01-24,169.72,0.1653,5.14,123.80,157.01,0.9825,target_hit,6,0.2134,31.08
49,COIN,false_breakdown_w_bottom,2024-11-11,324.24,2025-02-05,275.14,-0.1514,-3.65,275.60,349.34,0.9825,stop_loss,1,0.0744,24.12
50,SBUX,false_breakdown_w_bottom,2024-08-13,91.70,2025-02-18,110.00,0.1996,5.66,77.94,109.59,0.9825,target_hit,5,0.3091,28.34
51,GOOGL,false_breakdown_w_bottom,2024-12-11,194.50,2025-03-10,165.30,-0.1501,-4.53,165.33,217.89,0.9825,stop_loss,2,0.1552,30.19
52,BA,false_breakdown_w_bottom,2025-01-28,177.78,2025-03-10,148.15,-0.1667,-5.37,151.11,275.57,0.9825,stop_loss,9,0.1811,32.20
53,FXI,false_breakdown_w_bottom,2025-03-10,35.09,2025-03-14,36.74,0.0470,1.35,29.83,35.69,0.9825,target_hit,10,0.8172,28.68
