#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,54.46,64.48,0.8825,target_hit,17,0.3284,20.09
2,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,42.99,60.39,0.9825,target_hit,4,0.4217,20.37
3,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-13,211.39,-0.1454,-2.98,220.14,283.40,0.9325,stop_loss,8,0.0828,20.47
4,STNE,false_breakdown,2022-06-10,9.07,2022-06-16,7.63,-0.1588,-3.33,8.07,12.76,0.9000,stop_loss,19,2.3096,20.95
5,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.88,66.99,78.55,0.7825,target_hit,2,0.2637,19.85
6,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-07-05,21.47,-0.1339,-2.63,22.07,31.48,0.9825,stop_loss,20,0.7930,19.66
7,KWEB,false_breakdown,2022-06-07,28.67,2022-07-29,25.40,-0.1141,-2.42,25.51,32.69,0.8500,stop_loss,18,0.7410,21.24
8,ASHR,false_breakdown,2022-06-21,30.56,2022-09-16,26.63,-0.1287,-2.60,27.20,33.94,0.8500,stop_loss,5,0.6620,20.23
9,CHPT,false_breakdown_w_bottom,2022-07-29,302.20,2022-10-12,267.80,-0.1138,-2.14,268.96,390.80,0.9825,stop_loss,4,0.0623,18.82
10,FXI,false_breakdown,2022-09-23,24.21,2022-10-19,21.52,-0.1109,-1.95,21.54,26.96,0.8500,stop_loss,12,0.7282,17.63
11,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,2.07,203.34,246.47,0.8500,target_hit,12,0.0835,19.07
12,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.78,59.08,72.23,0.9325,target_hit,16,0.2948,19.57
13,INTC,false_breakdown_w_bottom,2022-10-28,27.66,2023-02-24,24.54,-0.1128,-2.26,24.62,40.11,0.9825,stop_loss,10,0.7231,20.00
14,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2023-06-06,8.55,0.3920,7.86,5.47,8.41,0.9325,target_hit,1,3.2608,20.04
15,AAPL,false_breakdown,2022-05-25,137.88,2023-06-30,191.46,0.3886,7.77,122.71,190.92,0.8500,target_hit,1,0.1451,20.00
16,NIO,false_breakdown_w_bottom,2023-07-03,10.03,2023-09-19,8.55,-0.1476,-3.53,8.93,25.98,0.9825,stop_loss,19,2.3837,23.91
17,BLK,false_breakdown_w_bottom,2023-06-06,638.20,2023-10-27,565.46,-0.1140,-2.57,568.00,742.31,0.9825,stop_loss,7,0.0353,22.51
18,SQQQ,false_breakdown_w_bottom,2023-10-27,477.49,2023-11-02,409.27,-0.1429,-3.26,424.96,837.67,0.9825,stop_loss,12,0.0479,22.85
19,INTC,false_breakdown_w_bottom,2023-02-28,24.33,2023-11-16,42.78,0.7580,14.85,21.66,40.11,0.9825,target_hit,11,0.8052,19.59
20,GDX,false_breakdown_w_bottom,2023-11-16,27.62,2023-12-01,30.71,0.1118,2.79,24.58,30.56,0.9825,target_hit,13,0.9020,24.91
21,DASH,false_breakdown_w_bottom,2023-11-02,87.79,2023-12-04,98.36,0.1204,2.79,78.13,97.78,0.9825,target_hit,2,0.2638,23.16
22,TMUS,false_breakdown_w_bottom,2022-10-12,127.82,2023-12-07,150.99,0.1813,3.02,113.76,150.18,0.9825,target_hit,15,0.1305,16.68
23,KRE,false_breakdown_w_bottom,2023-12-01,44.27,2023-12-08,45.70,0.0322,0.83,39.40,45.47,0.9825,target_hit,7,0.5821,25.77
24,BLK,false_breakdown_w_bottom,2023-12-05,713.15,2023-12-14,768.19,0.0772,1.99,634.71,742.31,0.9825,target_hit,2,0.0362,25.79
25,C,false_breakdown_w_bottom,2023-12-08,45.62,2023-12-14,46.88,0.0276,0.72,40.61,46.53,0.9825,target_hit,17,0.5687,25.95
26,ASML,false_breakdown_w_bottom,2023-09-20,577.40,2023-12-21,741.19,0.2837,6.66,513.89,740.69,0.9825,target_hit,5,0.0407,23.47
27,BAC,false_breakdown_w_bottom,2023-12-14,32.17,2024-01-05,32.63,0.0144,0.39,28.63,32.41,0.9825,target_hit,15,0.8374,26.94
28,KWEB,false_breakdown_w_bottom,2023-12-21,24.53,2024-01-18,21.61,-0.1191,-3.21,21.83,36.29,0.9825,stop_loss,19,1.0979,26.93
29,PG,false_breakdown,2022-10-19,118.42,2024-02-06,150.99,0.2750,4.31,105.40,150.51,0.8500,target_hit,14,0.1323,15.67
30,SRPT,false_breakdown_w_bottom,2024-01-09,119.77,2024-02-27,141.53,0.1817,4.81,106.60,137.41,0.9825,target_hit,10,0.2212,26.49
31,AMD,false_breakdown_w_bottom,2024-01-19,174.23,2024-02-29,192.53,0.1050,2.70,155.06,188.43,0.9825,target_hit,2,0.1474,25.68
32,OIH,false_breakdown_w_bottom,2023-12-15,294.58,2024-04-03,335.91,0.1403,3.76,262.18,334.33,0.9825,target_hit,5,0.0909,26.78
33,CCI,false_breakdown_w_bottom,2023-12-13,101.97,2024-04-05,90.49,-0.1125,-2.99,90.75,114.63,0.9825,stop_loss,1,0.2608,26.59
34,SLV,false_breakdown_w_bottom,2024-04-04,24.49,2024-04-08,25.40,0.0372,1.05,21.80,25.34,0.9825,target_hit,10,1.1566,28.33
35,WYNN,false_breakdown_w_bottom,2024-02-08,103.72,2024-04-30,89.80,-0.1342,-3.54,92.31,110.83,0.9825,stop_loss,3,0.2542,26.36
36,BABA,false_breakdown_w_bottom,2024-05-02,77.31,2024-05-13,81.42,0.0532,1.45,68.81,81.15,0.9825,target_hit,4,0.3526,27.26
37,OXY,false_breakdown_w_bottom,2024-04-12,66.37,2024-05-29,58.78,-0.1143,-3.23,59.07,72.78,0.9825,stop_loss,8,0.4254,28.24
38,AAPL,false_breakdown,2024-04-11,173.46,2024-06-03,192.54,0.1100,3.15,154.38,190.92,0.9000,target_hit,2,0.1649,28.60
39,TSM,false_breakdown_w_bottom,2024-03-06,137.35,2024-06-10,163.81,0.1926,5.35,122.24,163.78,0.9825,target_hit,12,0.2023,27.78
