#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,54.46,64.48,0.8825,target_hit,17,0.3284,20.09
2,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,42.99,60.39,0.9825,target_hit,4,0.4217,20.37
3,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-13,220.14,-0.1100,-2.25,220.14,283.40,0.9325,stop_loss,8,0.0828,20.47
4,STNE,false_breakdown,2022-06-10,9.07,2022-06-14,8.07,-0.1100,-2.30,8.07,12.76,0.9000,stop_loss,19,2.3096,20.95
5,EOG,false_breakdown_w_bottom,2022-06-14,112.10,2022-06-17,99.77,-0.1100,-2.23,99.77,125.82,0.8325,stop_loss,2,0.1809,20.27
6,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.88,66.99,78.55,0.7825,target_hit,2,0.2656,19.99
7,CVNA,false_breakdown,2022-06-17,24.27,2022-07-01,21.60,-0.1100,-2.17,21.60,175.75,0.9000,stop_loss,13,0.8121,19.71
8,OVV,false_breakdown_w_bottom,2022-07-01,39.34,2022-07-06,35.02,-0.1100,-2.14,35.02,43.04,0.9325,stop_loss,19,0.4943,19.45
9,KWEB,false_breakdown,2022-06-07,28.67,2022-07-15,25.51,-0.1100,-2.34,25.51,32.69,0.8500,stop_loss,18,0.7410,21.24
10,ASHR,false_breakdown,2022-06-21,30.56,2022-09-15,27.20,-0.1100,-2.24,27.20,33.94,0.8500,stop_loss,5,0.6655,20.34
11,NMM,false_breakdown_w_bottom,2022-09-15,26.72,2022-09-23,23.78,-0.1100,-1.99,23.78,31.48,0.9325,stop_loss,10,0.6775,18.10
12,FXI,false_breakdown,2022-09-23,24.21,2022-10-19,21.54,-0.1100,-1.77,21.54,26.96,0.8500,stop_loss,12,0.6656,16.11
13,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,2.07,203.34,246.47,0.8500,target_hit,12,0.0835,19.07
14,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.57,59.08,72.23,0.9325,target_hit,16,0.2607,17.31
15,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2022-12-14,5.47,-0.1100,-2.17,5.47,8.41,0.9325,stop_loss,1,3.2063,19.70
16,INTC,false_breakdown_w_bottom,2022-10-28,27.66,2022-12-28,24.62,-0.1100,-2.14,24.62,40.11,0.9825,stop_loss,10,0.7044,19.48
17,AAPL,false_breakdown,2022-05-25,137.88,2023-01-03,122.71,-0.1100,-2.20,122.71,190.92,0.8500,stop_loss,1,0.1451,20.00
18,SRPT,false_breakdown_w_bottom,2022-12-29,127.26,2023-03-01,145.63,0.1444,2.50,113.26,137.41,0.9825,target_hit,11,0.1363,17.34
19,FRPT,false_breakdown_w_bottom,2022-12-19,52.65,2023-03-15,46.86,-0.1100,-2.02,46.86,75.56,0.9825,stop_loss,15,0.3489,18.37
20,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-03-15,123.39,-0.1100,-1.96,123.39,150.44,0.9825,stop_loss,16,0.1284,17.80
21,VXX,false_breakdown_w_bottom,2023-03-15,219.84,2023-03-21,195.66,-0.1100,-1.95,195.66,239.68,0.9825,stop_loss,4,0.0806,17.72
22,GDX,false_breakdown_w_bottom,2023-03-15,28.32,2023-03-28,31.19,0.1016,1.54,25.20,30.56,0.9825,target_hit,11,0.5342,15.13
23,NIO,false_breakdown_w_bottom,2023-03-01,8.83,2023-04-25,7.86,-0.1100,-2.11,7.86,25.98,0.9825,stop_loss,16,2.1732,19.19
24,MO,false_breakdown_w_bottom,2023-03-22,34.97,2023-05-01,37.79,0.0808,1.27,31.12,37.63,0.9825,target_hit,2,0.4510,15.77
25,SQQQ,false_breakdown_w_bottom,2023-04-26,654.19,2023-05-05,582.23,-0.1100,-1.88,582.23,837.67,0.9825,stop_loss,8,0.0261,17.08
26,FUTU,false_breakdown_w_bottom,2023-03-28,45.14,2023-05-08,40.17,-0.1100,-1.83,40.17,62.81,0.9825,stop_loss,9,0.3692,16.66
27,DDOG,false_breakdown_w_bottom,2023-05-05,76.57,2023-05-10,86.00,0.1232,1.87,68.15,83.79,0.9825,target_hit,5,0.1985,15.20
28,AIV,false_breakdown_w_bottom,2023-05-08,4.09,2023-05-10,4.28,0.0453,0.67,3.64,4.26,0.9825,target_hit,4,3.6219,14.83
29,CSIQ,false_breakdown_w_bottom,2023-05-15,35.36,2023-05-22,42.32,0.1968,2.97,31.47,41.98,0.9825,target_hit,15,0.4274,15.11
30,META,false_breakdown_w_bottom,2023-05-01,241.29,2023-07-12,306.93,0.2721,4.64,214.74,302.35,0.9825,target_hit,2,0.0706,17.04
31,MSFT,false_breakdown_w_bottom,2023-05-23,308.64,2023-07-18,351.94,0.1403,2.54,274.69,344.35,0.9825,target_hit,1,0.0586,18.09
32,CVS,false_breakdown_w_bottom,2023-07-19,66.78,2023-08-17,59.44,-0.1100,-2.32,59.44,95.55,0.9825,stop_loss,6,0.3160,21.10
33,CSCO,false_breakdown_w_bottom,2022-07-15,38.88,2023-08-31,53.47,0.3752,7.09,34.61,53.37,0.8325,target_hit,7,0.4863,18.91
34,ENVX,false_breakdown_w_bottom,2023-08-17,13.89,2023-09-21,12.36,-0.1100,-2.07,12.36,21.15,0.9825,stop_loss,13,1.3521,18.78
35,MS,false_breakdown_w_bottom,2023-09-12,78.89,2023-10-18,70.21,-0.1100,-2.41,70.21,91.78,0.9825,stop_loss,12,0.2778,21.91
36,UNH,false_breakdown_w_bottom,2023-07-14,454.52,2023-11-10,514.29,0.1315,2.79,404.52,513.94,0.9825,target_hit,10,0.0466,21.20
37,UBER,false_breakdown_w_bottom,2023-09-21,44.60,2023-12-06,59.75,0.3397,7.07,39.69,58.99,0.9825,target_hit,17,0.4664,20.80
38,FIS,false_breakdown_w_bottom,2023-12-06,55.62,2023-12-13,57.10,0.0267,0.60,49.50,56.43,0.9825,target_hit,9,0.4073,22.66
39,PG,false_breakdown,2022-10-19,118.42,2024-02-06,150.99,0.2750,3.94,105.40,150.51,0.8500,target_hit,14,0.1211,14.34
