#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-01,228.06,-0.0780,-1.60,234.98,283.40,0.9325,stop_loss,8,0.0828,20.47
2,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,58.13,64.48,0.8825,target_hit,17,0.3284,20.09
3,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,45.88,60.39,0.9825,target_hit,4,0.4217,20.37
4,AAPL,false_breakdown,2022-05-25,137.88,2022-06-13,129.40,-0.0615,-1.23,130.99,190.92,0.8500,stop_loss,1,0.1451,20.00
5,KWEB,false_breakdown,2022-06-07,28.67,2022-06-13,26.37,-0.0803,-1.71,27.23,32.69,0.8500,stop_loss,18,0.7410,21.24
6,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.11,-0.1058,-2.27,8.62,12.76,0.9000,stop_loss,19,2.3664,21.46
7,MCD,false_breakdown,2022-06-02,228.47,2022-06-16,215.80,-0.0555,-0.99,217.05,246.47,0.8500,stop_loss,12,0.0780,17.83
8,EOG,false_breakdown_w_bottom,2022-06-14,112.10,2022-06-16,102.11,-0.0891,-1.82,106.49,125.82,0.8325,stop_loss,2,0.1821,20.41
9,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-06-17,23.46,-0.0537,-1.07,23.55,31.48,0.9825,stop_loss,20,0.8002,19.84
10,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.91,71.50,78.55,0.7825,target_hit,2,0.2737,20.60
11,UCO,false_breakdown_w_bottom,2022-06-01,47.93,2022-06-22,43.13,-0.1001,-2.01,45.53,55.81,0.7325,stop_loss,20,0.4197,20.12
12,ERX,false_breakdown,2022-06-17,44.16,2022-06-23,41.36,-0.0635,-1.07,41.96,60.03,0.9000,stop_loss,18,0.3832,16.92
13,ATHM,false_breakdown_w_bottom,2022-06-24,30.89,2022-06-28,34.59,0.1197,1.92,29.35,32.54,0.9825,target_hit,16,0.5196,16.05
14,CVNA,false_breakdown,2022-06-17,24.27,2022-06-30,22.58,-0.0696,-1.34,23.06,175.75,0.9000,stop_loss,13,0.7930,19.25
15,HIMX,false_breakdown,2022-06-28,6.66,2022-07-01,6.26,-0.0598,-1.08,6.32,8.18,0.9000,stop_loss,5,2.7004,17.97
16,SNOW,false_breakdown,2022-06-22,127.36,2022-07-05,154.90,0.2162,4.19,120.99,153.83,0.8500,target_hit,10,0.1523,19.39
17,OVV,false_breakdown_w_bottom,2022-07-01,39.34,2022-07-05,36.14,-0.0814,-1.38,37.38,43.04,0.9325,stop_loss,19,0.4295,16.90
18,RH,false_breakdown,2022-07-05,243.61,2022-07-15,267.32,0.0973,1.91,231.43,267.04,0.9000,target_hit,5,0.0807,19.66
