#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-01,234.98,-0.0500,-1.02,234.98,283.40,0.9325,stop_loss,8,0.0828,20.47
2,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,58.13,64.48,0.8825,target_hit,17,0.3284,20.09
3,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,45.88,60.39,0.9825,target_hit,4,0.4217,20.37
4,AAPL,false_breakdown,2022-05-25,137.88,2022-06-13,130.99,-0.0500,-1.00,130.99,190.92,0.8500,stop_loss,1,0.1451,20.00
5,MCD,false_breakdown,2022-06-02,228.47,2022-06-13,217.05,-0.0500,-0.91,217.05,246.47,0.8500,stop_loss,12,0.0800,18.28
6,KWEB,false_breakdown,2022-06-07,28.67,2022-06-13,27.23,-0.0500,-1.06,27.23,32.69,0.8500,stop_loss,18,0.7410,21.24
7,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.62,-0.0500,-1.08,8.62,12.76,0.9000,stop_loss,19,2.3788,21.58
8,EOG,false_breakdown_w_bottom,2022-06-14,112.10,2022-06-16,106.49,-0.0500,-1.05,106.49,125.82,0.8325,stop_loss,2,0.1865,20.91
9,META,false_breakdown,2022-06-15,168.03,2022-06-16,159.63,-0.0500,-0.99,159.63,217.75,0.9000,stop_loss,6,0.1175,19.75
10,UCO,false_breakdown_w_bottom,2022-06-01,47.93,2022-06-17,45.53,-0.0500,-1.01,45.53,55.81,0.7325,stop_loss,20,0.4221,20.23
11,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-06-17,23.55,-0.0500,-1.02,23.55,31.48,0.9825,stop_loss,20,0.8203,20.34
